fecha,temp_media,precipitacion
2021-03-31,13.36,0.0
2021-04-01,14.94,0.0
2021-04-02,16.2,0.0
2021-04-03,16.4,0.4
2021-04-04,14.47,0.0
2021-04-05,14.75,0.0
2021-04-06,13.52,0.2
2021-04-07,10.36,0.8
2021-04-08,12.41,0.0
2021-04-09,12.55,0.0
2021-04-10,12.76,2.2
2021-04-11,13.15,23.6
2021-04-12,11.62,6.6
2021-04-13,12.63,0.0
2021-04-14,12.5,0.0
2021-04-15,12.78,0.0
2021-04-16,11.64,0.0
2021-04-17,10.75,0.0
2021-04-18,12.75,0.0
2021-04-19,12.96,0.0
2021-04-20,13.39,0.0
2021-04-21,12.54,0.0
2021-04-22,13.38,0.0
2021-04-23,14.32,0.0
2021-04-24,14.6,0.0
2021-04-25,16.28,0.0
2021-04-26,15.76,0.0
2021-04-27,15.04,0.0
2021-04-28,15.07,0.0
2021-04-29,15.22,0.0
2021-04-30,15.58,0.0
2021-05-01,14.49,0.0
2021-05-02,13.45,0.0
2021-05-03,14.46,0.0
2021-05-04,15.16,0.0
2021-05-05,16.33,0.0
2021-05-06,17.12,0.0
2021-05-07,16.99,0.0
2021-05-08,18.79,0.0
2021-05-09,18.15,0.0
2021-05-10,17.27,0.0
2021-05-11,15.82,0.0
2021-05-12,17.28,0.0
2021-05-13,17.39,0.0
2021-05-14,16.23,0.0
2021-05-15,17.45,0.0
2021-05-16,17.72,0.0
2021-05-17,16.9,0.0
2021-05-18,17.26,0.0
2021-05-19,16.92,0.0
2021-05-20,16.85,3.0
2021-05-21,17.89,0.0
2021-05-22,16.75,0.0
2021-05-23,15.77,0.0
2021-05-24,17.34,1.2
2021-05-25,16.55,0.0
2021-05-26,16.91,0.0
2021-05-27,18.41,0.0
2021-05-28,19.71,0.0
2021-05-29,21.82,0.0
2021-05-30,22.17,0.0
2021-05-31,21.1,0.0
2021-06-01,19.92,0.6
2021-06-02,20.76,0.0
2021-06-03,20.79,0.0
2021-06-04,21.09,0.0
2021-06-05,20.74,0.0
2021-06-06,21.24,4.2
2021-06-07,20.68,0.0
2021-06-08,22.0,0.0
2021-06-09,23.82,0.0
2021-06-10,25.0,0.0
2021-06-11,25.64,0.0
2021-06-12,26.54,0.0
2021-06-13,27.62,0.0
2021-06-14,27.08,0.0
2021-06-15,27.42,0.0
2021-06-16,25.68,0.0
2021-06-17,24.3,0.0
2021-06-18,24.15,0.0
2021-06-19,24.2,0.0
2021-06-20,24.64,0.0
2021-06-21,25.3,0.0
2021-06-22,22.71,0.0
2021-06-23,21.71,0.2
2021-06-24,21.46,0.0
2021-06-25,22.75,0.0
2021-06-26,23.26,0.0
2021-06-27,24.06,0.0
2021-06-28,23.3,0.0
2021-06-29,22.97,0.0
2021-06-30,23.67,0.0
2021-07-01,24.39,0.0
2021-07-02,24.58,0.0
2021-07-03,24.8,0.0
2021-07-04,24.1,0.0
2021-07-05,25.14,0.0
2021-07-06,25.44,0.0
2021-07-07,24.2,0.0
2021-07-08,22.88,14.2
2021-07-09,24.32,0.0
2021-07-10,24.86,0.0
2021-07-11,25.25,0.0
2021-07-12,24.95,0.0
2021-07-13,22.71,0.0
2021-07-14,22.74,0.0
2021-07-15,23.69,0.0
2021-07-16,24.41,0.0
2021-07-17,24.56,0.0
2021-07-18,25.13,0.0
2021-07-19,26.7,0.0
2021-07-20,26.5,0.0
2021-07-21,26.66,0.0
2021-07-22,26.76,0.0
2021-07-23,27.34,0.0
2021-07-24,25.88,0.0
2021-07-25,25.2,0.0
2021-07-26,25.25,0.0
2021-07-27,25.38,0.0
2021-07-28,24.37,0.0
2021-07-29,25.36,0.0
2021-07-30,25.98,0.0
2021-07-31,24.15,8.4
2021-08-01,22.08,0.0
2021-08-02,23.14,0.0
2021-08-03,24.95,0.0
2021-08-04,22.85,1.4
2021-08-05,24.86,0.0
2021-08-06,24.1,0.0
2021-08-07,24.5,0.0
2021-08-08,23.08,0.0
2021-08-09,23.82,0.0
2021-08-10,24.58,0.0
2021-08-11,26.3,0.0
2021-08-12,26.61,0.0
2021-08-13,26.73,0.0
2021-08-14,27.59,0.0
2021-08-15,26.81,0.0
2021-08-16,25.86,0.0
2021-08-17,25.01,0.0
2021-08-18,24.34,0.0
2021-08-19,23.35,0.0
2021-08-20,24.63,0.0
2021-08-21,25.94,0.0
2021-08-22,25.62,0.0
2021-08-23,24.8,0.0
2021-08-24,24.63,0.4
2021-08-25,24.09,0.0
2021-08-26,24.65,0.0
2021-08-27,26.08,0.0
2021-08-28,24.58,0.0
2021-08-29,24.27,0.0
2021-08-30,22.48,0.0
2021-08-31,23.4,0.0
2021-09-01,23.48,0.0
2021-09-02,23.92,0.0
2021-09-03,24.13,0.0
2021-09-04,23.87,0.0
2021-09-05,24.98,0.0
2021-09-06,25.65,0.0
2021-09-07,25.49,0.0
2021-09-08,25.48,0.0
2021-09-09,25.29,0.0
2021-09-10,23.38,1.6
2021-09-11,23.8,0.0
2021-09-12,24.47,0.0
2021-09-13,25.41,0.0
2021-09-14,26.12,0.0
2021-09-15,26.0,0.0
2021-09-16,24.04,1.6
2021-09-17,24.18,0.0
2021-09-18,22.51,1.2
2021-09-19,21.57,1.4
2021-09-20,19.79,25.0
2021-09-21,19.67,0.0
2021-09-22,21.75,0.0
2021-09-23,21.8,1.8
2021-09-24,22.05,0.0
2021-09-25,24.18,0.0
2021-09-26,23.24,0.0
2021-09-27,23.49,0.0
2021-09-28,22.75,0.0
2021-09-29,21.97,0.0
2021-09-30,21.69,0.0
2021-10-01,20.47,0.0
2021-10-02,21.99,0.2
2021-10-03,23.48,0.2
2021-10-04,16.07,34.4
2021-10-05,19.72,0.0
2021-10-06,19.49,0.0
2021-10-07,19.36,0.0
2021-10-08,18.98,0.0
2021-10-09,18.82,0.2
2021-10-10,18.1,0.2
2021-10-11,18.82,0.0
2021-10-12,18.62,0.0
2021-10-13,18.83,0.0
2021-10-14,17.92,0.0
2021-10-15,19.84,0.0
2021-10-16,18.85,0.0
2021-10-17,18.18,0.0
2021-10-18,19.93,0.0
2021-10-19,20.41,0.0
2021-10-20,20.5,0.0
2021-10-21,18.89,0.0
2021-10-22,17.53,0.0
2021-10-23,16.35,0.0
2021-10-24,18.0,0.0
2021-10-25,17.33,0.0
2021-10-26,17.4,0.0
2021-10-27,16.85,0.0
2021-10-28,16.93,0.0
2021-10-29,18.19,27.8
2021-10-30,18.58,16.0
2021-10-31,19.25,0.0
2021-11-01,17.75,1.8
2021-11-02,15.05,0.0
2021-11-03,13.78,0.0
2021-11-04,12.98,0.0
2021-11-05,12.34,0.0
2021-11-06,12.9,0.0
2021-11-07,13.27,0.0
2021-11-08,14.7,0.0
2021-11-09,14.34,0.0
2021-11-10,15.33,10.4
2021-11-11,16.63,1.6
2021-11-12,17.55,0.2
2021-11-13,16.9,0.0
2021-11-14,14.6,8.4
2021-11-15,12.91,0.2
2021-11-16,13.05,3.2
2021-11-17,13.0,0.0
2021-11-18,12.09,0.4
2021-11-19,12.29,0.0
2021-11-20,12.88,0.0
2021-11-21,13.98,0.0
2021-11-22,12.8,1.6
2021-11-23,12.86,25.8
2021-11-24,11.67,4.8
2021-11-25,11.11,0.4
2021-11-26,10.83,0.0
2021-11-27,9.07,0.0
2021-11-28,7.5,0.0
2021-11-29,9.0,0.0
2021-11-30,10.66,0.0
2021-12-01,10.98,0.0
2021-12-02,10.56,12.2
2021-12-03,9.59,0.0
2021-12-04,11.89,0.0
2021-12-05,9.88,0.0
2021-12-06,9.0,0.0
2021-12-07,11.97,0.0
2021-12-08,12.2,0.0
2021-12-09,8.33,0.0
2021-12-10,12.25,0.0
2021-12-11,10.07,0.0
2021-12-12,12.59,0.0
2021-12-13,11.58,0.0
2021-12-14,10.54,0.0
2021-12-15,11.04,0.0
2021-12-16,10.59,0.0
2021-12-17,10.7,0.0
2021-12-18,10.61,0.0
2021-12-19,9.83,0.0
2021-12-20,9.49,0.0
2021-12-21,10.32,0.0
2021-12-22,10.64,0.0
2021-12-23,12.32,0.0
2021-12-24,13.61,0.0
2021-12-25,13.91,0.0
2021-12-26,12.33,0.0
2021-12-27,15.84,0.0
2021-12-28,16.5,0.0
2021-12-29,15.95,0.0
2021-12-30,14.68,0.0
2021-12-31,12.95,0.0
2022-01-01,10.72,0.0
2022-01-02,11.05,0.0
2022-01-03,11.01,0.0
2022-01-04,14.46,0.0
2022-01-05,10.44,7.0
2022-01-06,7.77,0.0
2022-01-07,7.67,0.0
2022-01-08,9.65,0.0
2022-01-09,10.98,0.0
2022-01-10,10.25,1.2
2022-01-11,10.59,0.0
2022-01-12,9.27,0.0
2022-01-13,7.66,0.0
2022-01-14,9.13,0.0
2022-01-15,7.89,0.0
2022-01-16,8.22,0.0
2022-01-17,9.11,0.0
2022-01-18,8.47,0.0
2022-01-19,9.4,0.0
2022-01-20,9.57,0.0
2022-01-21,8.25,0.0
2022-01-22,7.68,0.0
2022-01-23,8.49,0.0
2022-01-24,9.22,0.0
2022-01-25,9.01,0.0
2022-01-26,9.2,0.0
2022-01-27,9.82,0.0
2022-01-28,10.52,0.0
2022-01-29,10.76,0.0
2022-01-30,11.55,0.0
2022-01-31,10.88,0.0
2022-02-01,10.99,0.0
2022-02-02,11.93,0.0
2022-02-03,11.35,0.0
2022-02-04,11.64,0.0
2022-02-05,11.66,0.0
2022-02-06,11.53,0.0
2022-02-07,11.66,0.0
2022-02-08,12.17,0.0
2022-02-09,11.0,0.0
2022-02-10,10.55,0.0
2022-02-11,11.62,0.0
2022-02-12,11.07,0.8
2022-02-13,12.34,0.2
2022-02-14,13.12,0.2
2022-02-15,11.36,0.0
2022-02-16,11.99,0.0
2022-02-17,14.59,0.0
2022-02-18,13.2,0.0
2022-02-19,11.12,0.0
2022-02-20,11.12,0.0
2022-02-21,13.03,0.0
2022-02-22,12.13,0.0
2022-02-23,12.36,0.0
2022-02-24,13.02,0.0
2022-02-25,12.26,0.0
2022-02-26,11.25,0.0
2022-02-27,11.0,0.0
2022-02-28,12.36,0.0
2022-03-01,11.86,0.0
2022-03-02,11.55,0.6
2022-03-03,12.46,0.0
2022-03-04,12.13,0.0
2022-03-05,12.72,0.0
2022-03-06,10.05,11.2
2022-03-07,10.84,0.0
2022-03-08,10.52,0.2
2022-03-09,11.47,0.0
2022-03-10,12.25,0.0
2022-03-11,12.27,0.8
2022-03-12,11.82,40.4
2022-03-13,12.6,1.4
2022-03-14,13.45,0.0
2022-03-15,14.32,0.0
2022-03-16,14.3,0.0
2022-03-17,14.86,0.0
2022-03-18,14.7,0.0
2022-03-19,12.29,0.0
2022-03-20,12.8,5.2
2022-03-21,12.63,7.6
2022-03-22,11.61,0.6
2022-03-23,11.53,0.0
2022-03-24,12.25,0.0
2022-03-25,13.35,0.0
2022-03-26,13.19,0.2
2022-03-27,15.1,0.0
2022-03-28,14.22,0.0
2022-03-29,13.72,0.0
2022-03-30,12.41,20.0
2022-03-31,11.6,16.8
2022-04-01,10.67,0.0
2022-04-02,8.83,0.0
2022-04-03,7.4,0.2
2022-04-04,9.23,0.0
2022-04-05,11.66,0.0
2022-04-06,12.84,0.0
2022-04-07,15.31,0.0
2022-04-08,18.7,0.0
2022-04-09,13.97,1.8
2022-04-10,14.07,0.0
2022-04-11,13.79,0.0
2022-04-12,14.44,0.0
2022-04-13,14.1,2.4
2022-04-14,17.8,0.0
2022-04-15,19.28,0.0
2022-04-16,18.73,0.0
2022-04-17,16.43,0.0
2022-04-18,14.84,0.0
2022-04-19,14.8,0.2
2022-04-20,14.75,1.6
2022-04-21,12.39,36.6
2022-04-22,14.7,0.0
2022-04-23,13.35,13.2
2022-04-24,15.36,0.0
2022-04-25,15.31,0.0
2022-04-26,15.69,0.0
2022-04-27,16.66,0.0
2022-04-28,17.62,0.0
2022-04-29,18.92,0.0
2022-04-30,18.36,0.0
2022-05-01,17.82,0.0
2022-05-02,17.3,0.0
2022-05-03,15.72,1.6
2022-05-04,15.94,0.0
2022-05-05,17.05,0.0
2022-05-06,17.63,0.0
2022-05-07,18.77,0.0
2022-05-08,19.37,0.0
2022-05-09,19.01,0.0
2022-05-10,18.56,0.0
2022-05-11,18.23,0.0
2022-05-12,18.77,0.0
2022-05-13,18.29,0.0
2022-05-14,20.56,0.0
2022-05-15,20.85,0.0
2022-05-16,20.78,0.0
2022-05-17,20.03,0.0
2022-05-18,22.93,0.0
2022-05-19,21.47,0.0
2022-05-20,22.96,0.0
2022-05-21,23.35,0.0
2022-05-22,23.66,0.0
2022-05-23,22.35,0.0
2022-05-24,18.79,10.0
2022-05-25,17.35,4.8
2022-05-26,21.6,0.0
2022-05-27,22.08,0.0
2022-05-28,22.73,0.0
2022-05-29,21.03,0.0
2022-05-30,20.73,0.0
2022-05-31,21.25,0.0
2022-06-01,21.6,0.0
2022-06-02,20.76,0.0
2022-06-03,22.28,0.0
2022-06-04,21.95,0.0
2022-06-05,23.38,0.0
2022-06-06,23.74,0.0
2022-06-07,23.83,0.0
2022-06-08,22.64,0.0
2022-06-09,22.43,0.0
2022-06-10,22.71,0.0
2022-06-11,25.3,0.0
2022-06-12,26.22,0.0
2022-06-13,26.95,0.0
2022-06-14,25.8,0.0
2022-06-15,26.4,0.0
2022-06-16,27.24,0.0
2022-06-17,29.73,0.0
2022-06-18,25.83,0.0
2022-06-19,25.36,0.0
2022-06-20,25.67,0.0
2022-06-21,25.85,0.6
2022-06-22,23.57,3.8
2022-06-23,24.58,0.0
2022-06-24,23.93,0.0
2022-06-25,24.12,0.0
2022-06-26,24.09,0.0
2022-06-27,24.77,0.6
2022-06-28,24.6,0.0
2022-06-29,24.1,0.0
2022-06-30,24.37,0.0
2022-07-01,22.9,0.0
2022-07-02,23.68,0.0
2022-07-03,25.4,0.0
2022-07-04,26.49,0.0
2022-07-05,26.53,0.2
2022-07-06,25.16,2.0
2022-07-07,25.58,0.0
2022-07-08,25.65,0.0
2022-07-09,25.79,0.0
2022-07-10,27.13,0.0
2022-07-11,26.25,0.0
2022-07-12,26.01,0.0
2022-07-13,26.81,0.0
2022-07-14,27.38,0.0
2022-07-15,29.19,0.0
2022-07-16,29.7,0.0
2022-07-17,27.71,0.0
2022-07-18,26.16,0.0
2022-07-19,26.75,0.0
2022-07-20,26.78,0.0
2022-07-21,27.58,0.0
2022-07-22,27.62,0.0
2022-07-23,26.78,0.0
2022-07-24,28.0,0.0
2022-07-25,27.0,0.0
2022-07-26,26.84,2.4
2022-07-27,25.55,3.6
2022-07-28,26.46,0.0
2022-07-29,25.77,11.6
2022-07-30,26.27,0.0
2022-07-31,28.02,0.0
2022-08-01,29.01,0.0
2022-08-02,29.51,0.0
2022-08-03,29.47,0.0
2022-08-04,28.58,0.0
2022-08-05,26.97,11.2
2022-08-06,28.84,0.0
2022-08-07,28.3,0.0
2022-08-08,28.0,0.0
2022-08-09,28.06,0.0
2022-08-10,28.93,0.0
2022-08-11,28.69,0.0
2022-08-12,28.75,0.0
2022-08-13,28.36,0.0
2022-08-14,28.69,0.0
2022-08-15,26.71,0.0
2022-08-16,26.55,0.0
2022-08-17,25.9,0.0
2022-08-18,22.1,4.6
2022-08-19,23.72,0.0
2022-08-20,25.83,0.0
2022-08-21,25.8,11.8
2022-08-22,26.05,0.0
2022-08-23,26.45,0.0
2022-08-24,27.65,0.0
2022-08-25,26.65,0.2
2022-08-26,27.72,0.0
2022-08-27,26.93,0.0
2022-08-28,27.34,0.0
2022-08-29,27.09,0.0
2022-08-30,27.42,0.0
2022-08-31,25.07,3.6
2022-09-01,25.96,0.0
2022-09-02,25.36,0.8
2022-09-03,25.1,0.0
2022-09-04,25.75,0.0
2022-09-05,26.59,0.0
2022-09-06,27.15,0.0
2022-09-07,26.11,0.0
2022-09-08,25.78,0.0
2022-09-09,24.48,0.0
2022-09-10,25.3,0.0
2022-09-11,25.27,0.0
2022-09-12,26.66,0.0
2022-09-13,27.63,0.0
2022-09-14,25.56,1.6
2022-09-15,26.23,0.0
2022-09-16,23.95,1.2
2022-09-17,22.64,0.0
2022-09-18,21.16,0.0
2022-09-19,22.15,0.0
2022-09-20,21.92,0.0
2022-09-21,21.73,0.0
2022-09-22,21.99,0.0
2022-09-23,22.42,3.6
2022-09-24,19.74,13.2
2022-09-25,19.98,2.4
2022-09-26,20.8,0.0
2022-09-27,19.75,0.0
2022-09-28,20.86,0.0
2022-09-29,18.9,0.0
2022-09-30,18.15,0.0
2022-10-01,19.65,0.0
2022-10-02,22.16,0.0
2022-10-03,21.29,0.0
2022-10-04,21.32,0.0
2022-10-05,20.71,0.0
2022-10-06,21.3,0.0
2022-10-07,19.81,7.0
2022-10-08,19.33,2.4
2022-10-09,19.82,0.0
2022-10-10,20.15,0.0
2022-10-11,19.95,0.0
2022-10-12,20.77,0.0
2022-10-13,21.24,0.0
2022-10-14,20.65,0.0
2022-10-15,21.39,0.0
2022-10-16,21.97,0.0
2022-10-17,22.2,0.0
2022-10-18,21.59,0.0
2022-10-19,21.3,0.0
2022-10-20,22.03,0.0
2022-10-21,22.78,0.0
2022-10-22,21.37,0.0
2022-10-23,21.69,0.0
2022-10-24,22.64,0.0
2022-10-25,21.63,0.0
2022-10-26,21.11,0.0
2022-10-27,19.06,0.0
2022-10-28,18.16,0.0
2022-10-29,18.26,0.0
2022-10-30,19.39,0.0
2022-10-31,20.45,0.0
2022-11-01,19.59,0.0
2022-11-02,18.79,0.0
2022-11-03,19.04,0.8
2022-11-04,16.37,0.0
2022-11-05,15.27,0.0
2022-11-06,15.89,0.0
2022-11-07,16.83,0.0
2022-11-08,18.23,0.0
2022-11-09,19.12,0.6
2022-11-10,16.55,3.6
2022-11-11,18.93,0.0
2022-11-12,18.43,0.0
2022-11-13,16.7,0.0
2022-11-14,17.98,0.0
2022-11-15,19.76,0.0
2022-11-16,18.34,0.0
2022-11-17,19.33,0.0
2022-11-18,14.14,8.4
2022-11-19,12.33,0.0
2022-11-20,12.17,0.0
2022-11-21,13.79,0.2
2022-11-22,11.91,0.0
2022-11-23,15.3,0.0
2022-11-24,16.06,0.2
2022-11-25,14.3,2.8
2022-11-26,12.84,0.0
2022-11-27,13.38,0.0
2022-11-28,12.93,0.4
2022-11-29,12.16,0.0
2022-11-30,11.77,0.0
2022-12-01,11.4,0.0
2022-12-02,10.95,0.0
2022-12-03,10.79,0.0
2022-12-04,10.46,2.4
2022-12-05,10.75,0.0
2022-12-06,11.74,0.0
2022-12-07,12.03,0.0
2022-12-08,12.78,7.2
2022-12-09,15.15,0.4
2022-12-10,11.91,0.2
2022-12-11,9.24,0.0
2022-12-12,9.65,9.4
2022-12-13,12.37,1.0
2022-12-14,13.53,4.0
2022-12-15,14.75,2.0
2022-12-16,13.01,0.0
2022-12-17,12.09,0.0
2022-12-18,11.64,0.0
2022-12-19,14.12,0.0
2022-12-20,13.84,0.0
2022-12-21,14.45,1.0
2022-12-22,15.33,0.0
2022-12-23,17.37,0.0
2022-12-24,15.92,0.0
2022-12-25,14.32,0.0
2022-12-26,15.48,0.0
2022-12-27,13.14,0.0
2022-12-28,12.39,0.0
2022-12-29,13.55,0.0
2022-12-30,15.41,0.0
2022-12-31,15.6,0.0
2023-01-01,12.05,0.0
2023-01-02,13.06,0.0
2023-01-03,13.67,0.0
2023-01-04,11.61,0.0
2023-01-05,11.41,0.0
2023-01-06,9.97,0.0
2023-01-07,12.47,0.0
2023-01-08,14.48,0.0
2023-01-09,13.76,0.0
2023-01-10,11.42,0.0
2023-01-11,11.87,0.0
2023-01-12,11.47,0.0
2023-01-13,12.39,0.0
2023-01-14,12.24,0.0
2023-01-15,12.74,1.8
2023-01-16,10.67,0.2
2023-01-17,13.3,0.2
2023-01-18,8.67,0.0
2023-01-19,8.05,0.0
2023-01-20,8.33,0.0
2023-01-21,7.53,0.0
2023-01-22,6.1,0.0
2023-01-23,5.82,0.0
2023-01-24,6.63,0.2
2023-01-25,10.7,0.0
2023-01-26,7.68,0.0
2023-01-27,7.81,0.0
2023-01-28,6.74,0.0
2023-01-29,6.76,0.2
2023-01-30,8.03,0.0
2023-01-31,9.27,0.0
2023-02-01,9.51,0.0
2023-02-02,9.86,0.0
2023-02-03,10.3,0.0
2023-02-04,13.4,0.0
2023-02-05,11.79,0.0
2023-02-06,9.68,1.0
2023-02-07,9.13,24.8
2023-02-08,8.72,1.8
2023-02-09,8.57,0.0
2023-02-10,8.94,0.0
2023-02-11,8.52,0.0
2023-02-12,8.33,0.0
2023-02-13,9.04,0.0
2023-02-14,9.5,0.0
2023-02-15,9.91,0.0
2023-02-16,10.24,0.0
2023-02-17,11.32,0.0
2023-02-18,12.39,0.0
2023-02-19,12.35,0.0
2023-02-20,12.4,0.0
2023-02-21,12.34,0.0
2023-02-22,12.12,0.0
2023-02-23,11.66,0.2
2023-02-24,11.65,2.6
2023-02-25,10.61,0.0
2023-02-26,8.5,4.2
2023-02-27,5.68,0.0
2023-02-28,10.74,0.0
2023-03-01,7.9,0.0
2023-03-02,8.35,0.0
2023-03-03,9.51,0.0
2023-03-04,10.32,0.0
2023-03-05,10.24,0.0
2023-03-06,10.81,0.0
2023-03-07,13.05,0.0
2023-03-08,15.87,0.0
2023-03-09,17.26,0.0
2023-03-10,17.59,0.0
2023-03-11,19.65,0.0
2023-03-12,15.91,0.0
2023-03-13,15.38,0.0
2023-03-14,15.23,0.0
2023-03-15,13.68,0.0
2023-03-16,13.5,0.0
2023-03-17,13.77,0.0
2023-03-18,14.45,0.0
2023-03-19,14.27,0.0
2023-03-20,13.74,0.0
2023-03-21,13.75,0.0
2023-03-22,13.75,0.0
2023-03-23,14.31,0.0
2023-03-24,14.98,0.0
2023-03-25,14.46,0.0
2023-03-26,16.07,0.0
2023-03-27,14.43,0.0
2023-03-28,13.99,0.0
2023-03-29,15.0,0.0
2023-03-30,14.38,0.0
2023-03-31,15.75,0.0
2023-04-01,14.88,0.8
2023-04-02,13.65,0.0
2023-04-03,14.26,0.0
2023-04-04,12.81,0.0
2023-04-05,13.34,0.0
2023-04-06,13.78,0.0
2023-04-07,13.84,0.0
2023-04-08,13.8,0.0
2023-04-09,14.75,0.0
2023-04-10,15.3,0.0
